cap dqbuf: 0 seq:    144 bytesused: 41967 ts: 782.357772 delta: 51.980 ms fps: 18.01 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    145 bytesused: 41915 ts: 782.405814 delta: 48.042 ms fps: 18.03 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    146 bytesused: 41944 ts: 782.457777 delta: 51.963 ms fps: 18.03 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    147 bytesused: 41962 ts: 782.509748 delta: 51.971 ms fps: 18.04 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    148 bytesused: 41949 ts: 782.557786 delta: 48.038 ms fps: 18.06 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    149 bytesused: 41958 ts: 782.609770 delta: 51.984 ms fps: 18.07 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    150 bytesused: 41954 ts: 782.661747 delta: 51.977 ms fps: 18.07 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    151 bytesused: 41968 ts: 782.709767 delta: 48.020 ms fps: 18.09 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    152 bytesused: 41948 ts: 782.761763 delta: 51.996 ms fps: 18.10 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    153 bytesused: 41956 ts: 782.809787 delta: 48.024 ms fps: 18.11 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    154 bytesused: 41989 ts: 782.861767 delta: 51.980 ms fps: 18.12 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    155 bytesused: 41961 ts: 782.913747 delta: 51.980 ms fps: 18.13 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    156 bytesused: 41931 ts: 782.961769 delta: 48.022 ms fps: 18.14 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    157 bytesused: 41954 ts: 783.013752 delta: 51.983 ms fps: 18.15 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    158 bytesused: 41941 ts: 783.065724 delta: 51.972 ms fps: 18.15 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    159 bytesused: 41933 ts: 783.113748 delta: 48.024 ms fps: 18.17 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    160 bytesused: 41961 ts: 783.165728 delta: 51.980 ms fps: 18.17 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    161 bytesused: 41933 ts: 783.213777 delta: 48.049 ms fps: 18.19 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    162 bytesused: 41957 ts: 783.265748 delta: 51.971 ms fps: 18.19 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    163 bytesused: 41947 ts: 783.317734 delta: 51.986 ms fps: 18.20 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    164 bytesused: 41943 ts: 783.365753 delta: 48.019 ms fps: 18.21 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    165 bytesused: 41971 ts: 783.417740 delta: 51.987 ms fps: 18.22 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    166 bytesused: 41948 ts: 783.469714 delta: 51.974 ms fps: 18.23 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    167 bytesused: 41953 ts: 783.517741 delta: 48.027 ms fps: 18.24 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    168 bytesused: 41962 ts: 783.569725 delta: 51.984 ms fps: 18.25 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    169 bytesused: 41966 ts: 783.617759 delta: 48.034 ms fps: 18.26 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    170 bytesused: 41930 ts: 783.669725 delta: 51.966 ms fps: 18.26 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    171 bytesused: 41941 ts: 783.721706 delta: 51.981 ms fps: 18.27 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    172 bytesused: 41966 ts: 783.769734 delta: 48.028 ms fps: 18.28 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    173 bytesused: 41951 ts: 783.821724 delta: 51.990 ms fps: 18.29 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    174 bytesused: 41931 ts: 783.873701 delta: 51.977 ms fps: 18.29 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    175 bytesused: 41956 ts: 783.921726 delta: 48.025 ms fps: 18.31 field: None (ts-monotonic, ts-src-soe)
